iter	RMSE
0	14.92013862
1	14.83034095
2	14.73020987
3	14.63562201
4	14.55160408
5	14.46822607
6	14.38703285
7	14.30945136
8	14.22974131
9	14.15806374
10	14.08109563
11	13.98578638
12	13.9048821
13	13.818302
14	13.74274854
15	13.657109
16	13.57729665
17	13.49993519
18	13.41676652
19	13.33345429
20	13.24812226
21	13.1617978
22	13.08295127
23	13.00708926
24	12.93478851
25	12.85787367
26	12.77845771
27	12.70548995
28	12.63822169
29	12.5710301
30	12.50304262
31	12.42631704
32	12.34757303
33	12.28467436
34	12.21388473
35	12.15073681
36	12.07883023
37	12.0202194
38	11.94860884
39	11.89088115
40	11.83083085
41	11.7722561
42	11.71036761
43	11.6405435
44	11.58512277
45	11.5253761
46	11.46033154
47	11.40693883
48	11.3480933
49	11.28552427
50	11.22703018
51	11.17323633
52	11.11765491
53	11.05777754
54	10.99496704
55	10.93437507
56	10.88331273
57	10.82386113
58	10.76492038
59	10.71094927
60	10.65316651
61	10.61088745
62	10.56458874
63	10.50850974
64	10.45454273
65	10.40628133
66	10.35473032
67	10.3054598
68	10.25759727
69	10.20403859
70	10.15222094
71	10.10339665
72	10.05209636
73	10.00302949
74	9.963679499
75	9.913413011
76	9.871771754
77	9.83270123
78	9.78468644
79	9.740273874
80	9.694682593
81	9.647137694
82	9.60348699
83	9.559783237
84	9.514807598
85	9.477957258
86	9.439744826
87	9.404191045
88	9.360147512
89	9.325239984
90	9.284559568
91	9.243604486
92	9.206130712
93	9.170767018
94	9.132346451
95	9.09357988
96	9.057552505
97	9.024818912
98	8.992105542
99	8.954836953
100	8.924530628
101	8.8894886
102	8.850597527
103	8.814723937
104	8.77842944
105	8.74937221
106	8.712637382
107	8.679955497
108	8.644116401
109	8.60979113
110	8.581941333
111	8.55004738
112	8.518456617
113	8.487080682
114	8.453503531
115	8.422958673
116	8.390802524
117	8.365006366
118	8.336212466
119	8.305180255
120	8.277827123
121	8.246640897
122	8.214679997
123	8.187684951
124	8.156244452
125	8.125277948
126	8.096641997
127	8.07332355
128	8.044166825
129	8.014163013
130	7.988446193
131	7.959044698
132	7.931503178
133	7.902833186
134	7.878487484
135	7.855192678
136	7.830222654
137	7.807024902
138	7.780479577
139	7.754898383
140	7.729836284
141	7.709228804
142	7.687326982
143	7.665796777
144	7.646949103
145	7.624902549
146	7.601626105
147	7.58043115
148	7.559473869
149	7.537433391
150	7.514446065
151	7.496780244
152	7.47617808
153	7.457412701
154	7.437631707
155	7.415303833
156	7.3935535
157	7.375973386
158	7.358296877
159	7.341063295
160	7.3243477
161	7.307043929
162	7.287614612
163	7.266740471
164	7.249819821
165	7.230321861
166	7.209426651
167	7.18795113
168	7.16904089
169	7.1506283
170	7.136851576
171	7.121432908
172	7.102400857
173	7.084799741
174	7.067147471
175	7.052922072
176	7.038193112
177	7.021242046
178	7.009164508
179	6.994367761
180	6.980998434
181	6.967722822
182	6.949949026
183	6.935496296
184	6.919053869
185	6.906196455
186	6.892946311
187	6.877438485
188	6.863754512
189	6.846680958
190	6.830884848
191	6.815399694
192	6.800731804
193	6.785428242
194	6.773673513
195	6.759147551
196	6.745856394
197	6.732085105
198	6.717743282
199	6.706081974
200	6.692407111
201	6.677348338
202	6.664175083
203	6.65098941
204	6.637380874
205	6.624719846
206	6.61102181
207	6.600239811
208	6.588781657
209	6.575296766
210	6.564115191
211	6.5508495
212	6.539293234
213	6.52657492
214	6.513620382
215	6.502103634
216	6.490057681
217	6.481436971
218	6.471168016
219	6.4607656
220	6.450438976
221	6.441306194
222	6.430415211
223	6.421574063
224	6.414482754
225	6.404997015
226	6.394527086
227	6.384035274
228	6.37424243
229	6.365502536
230	6.357121017
231	6.348480164
232	6.3375772
233	6.328154487
234	6.321510036
235	6.311101666
236	6.303236019
237	6.293116925
238	6.282969131
239	6.274216249
240	6.26638626
241	6.258992573
242	6.250254537
243	6.241753989
244	6.232767676
245	6.223441389
246	6.213572644
247	6.204381501
248	6.197527957
249	6.18902791
250	6.179532195
251	6.171223627
252	6.162950508
253	6.156943164
254	6.148652393
255	6.140492589
256	6.133311801
257	6.125968169
258	6.118435941
259	6.112293859
260	6.105920167
261	6.099033331
262	6.093253508
263	6.085738147
264	6.079538871
265	6.07298942
266	6.067991935
267	6.06063375
268	6.052480974
269	6.046271605
270	6.039484366
271	6.033200885
272	6.028039913
273	6.020743529
274	6.015866976
275	6.011441325
276	6.004488638
277	5.999284573
278	5.994088166
279	5.988880378
280	5.983524209
281	5.978265962
282	5.973437601
283	5.966937927
284	5.96030717
285	5.954830306
286	5.94836989
287	5.943483235
288	5.938135845
289	5.933330593
290	5.928224123
291	5.923620778
292	5.919058189
293	5.91413289
294	5.908203692
295	5.903727935
296	5.897391305
297	5.892762421
298	5.887173249
299	5.880963896
300	5.877281356
301	5.872148952
302	5.866591793
303	5.86208873
304	5.85775463
305	5.853830251
306	5.850304974
307	5.844509081
308	5.840084675
309	5.835943743
310	5.831732675
311	5.827741846
312	5.822457038
313	5.817740387
314	5.81249095
315	5.80843835
316	5.803783536
317	5.800200544
318	5.7957394
319	5.792354608
320	5.787964219
321	5.783867092
322	5.78002437
323	5.775637439
324	5.772006154
325	5.768298371
326	5.764173516
327	5.760437815
328	5.757211251
329	5.752594848
330	5.748067396
331	5.744042932
332	5.740040432
333	5.735018245
334	5.731842308
335	5.728702556
336	5.724936353
337	5.721425358
338	5.718713636
339	5.715413825
340	5.711270907
341	5.707500016
342	5.704171389
343	5.700827879
344	5.697116026
345	5.693347277
346	5.69065821
